Word,Count
*,4265
the,3155
,2501
to,1514
a,1003
is,760
of,731
we,706
in,659
and,649
this,634
for,625
it,389
that,384
or,364
with,326
be,325
License,320
on,304
file,294
if,292
under,265
by,248
an,246
not,241
are,227
The,215
have,208
will,201
may,194
from,192
distributed,192
use,189
so,187
child,186
We,184
If,178
Apache,173
This,168
more,164
at,161
process,158
one,158
as,157
up,137
See,135
You,132
can,127
which,126
thread,123
do,123
any,122
just,121
all,116
only,116
when,115
server,109
set,105
don't,105
but,105
should,103
you,101
parent,101
our,98
then,96
config,94
work,91
has,90
threads,89
no,89
error,88
need,87
worker,87
time,86
copy,82
either,81
OR,80
before,80
-,79
OF,78
specific,77
required,76
want,75
information,74
except,74
get,73
request,73
ANY,72
children,71
than,71
(the,70
number,70
scoreboard,70
additional,70
permissions,70
copyright,69
was,69
software,69
handle,69
first,69
WARRANTIES,68
there,67
socket,67
Software,67
2.0,67
signal,66
Foundation,66
new,66
\"\AS\,66
service,66
used,66
WITHOUT,65
language,65
some,65
regarding,65
implied,65
\IS"\\,65
already,65
express,65
CONDITIONS,64
licenses,64
\License,\,64
case,64
license,64
http://www.apache.org/licenses/LICENSE-2.0,64
\BASIS,\,64
(ASF),64
compliance,64
\writing,\,64
agreed,64
limitations,64
contributor,64
agreements,64
\KIND,\,64
obtain,64
ownership,64
Licensed,64
Unless,64
law,64
Version,64
\"\License"\);\,64
applicable,64
ASF,64
governing,64
NOTICE,64
list,63
into,63
exit,62
next,62
start,62
because,61
it's,59
restart,59
MPM,58
each,58
must,58
function,57
out,56
since,56
return,55
listener,55
make,54
really,54
call,53
been,53
same,53
we're,53
off,52
code,52
them,52
module,51
default,50
now,50
other,50
until,49
shutdown,49
log,48
data,48
us,46
end,45
idle,45
without,45
path,44
keep,44
here,44
create,44
doesn't,44
---,43
string,43
filter,43
about,42
connection,42
still,42
window,42
over,41
read,41
would,41
It,41
called,40
queue,40
its,40
they,39
after,39
bucket,38
value,38
these,38
we've,38
check,37
sure,37
accept,37
pool,37
sockets,37
XXX,36
0,36
done,36
command,36
running,36
what,36
line,36
processes,35
won't,35
send,35
try,35
loop,35
see,35
we'll,34
NULL,34
know,33
1,33
die,32
functions,32
main,32
merge,32
enough,32
through,32
single,32
graceful,32
down,32
XXX:,31
run,31
another,31
name,31
does,30
For,30
connections,30
can't,30
buffer,30
port,30
brigade,30
match,30
current,29
event,29
close,29
their,29
between,29
second,29
once,29
around,29
doing,28
Create,28
something,28
always,28
slot,28
might,28
Don't,28
=,28
while,28
stuff,28
where,27
matches,27
-k,27
way,27
structure,27
client,27
requests,27
sent,27
A,26
too,26
state,26
spawn,26
kill,26
structures,26
going,26
also,26
allow,26
pid,26
workers,26
system,26
console,26
ever,25
modules,25
generation,25
pass,25
back,25
header,25
Now,25
shared,25
directory,25
@file,24
address,24
isn't,24
block,24
message,24
entry,24
****************************************************************,24
args,24
@brief,24
fork,24
means,24
how,24
configuration,23
context,23
much,23
many,23
###,23
user,23
mode,23
later,23
bad,23
within,23
servers,23
extra,23
size,23
reset,23
count,23
two,23
given,23
per,22
again,22
most,22
things,22
across,22
array,22
core,22
handler,22
messages,22
pointer,22
condition,22
such,22
multiple,22
skip,22
actually,22
needed,22
\this,\,21
own,21
never,21
didn't,21
ignore,21
character,21
setting,21
cannot,21
above,21
@},21
tell,21
returns,21
==,21
change,21
last,21
signals,21
wake,20
found,20
created,20
remove,20
following,20
\here,\,20
In,20
probably,20
assume,20
track,20
maintenance,20
could,20
find,20
@{,20
x,20
stderr,20
full,19
headers,19
flag,19
trailing,19
pipe,19
errors,19
directive,19
memory,19
wait,19
support,19
bit,19
possible,19
let,19
field,19
add,19
happen,19
per-directory,19
bytes,19
least,19
previous,19
below,19
trying,19
But,19
needs,18
away,18
output,18
timeout,18
both,18
give,18
longer,18
root,18
shut,18
\process,\,18
clean,18
original,18
right,18
using,18
per-server,18
avoid,18
access,18
like,17
buckets,17
When,17
else,17
