File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\buildmark.c,ap_get_server_built(),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,create_empty_config(apr_pool_t *p),4,4,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,create_default_per_dir_config(apr_pool_t *p),13,10,7,3,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_merge_per_dir_configs(apr_pool_t *p, ap_conf_vector_t *base, ap_conf_vector_t *new_conf)",23,20,15,4,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"create_server_config(apr_pool_t *p, server_rec *s)",11,9,6,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"merge_server_configs(apr_pool_t *p, ap_conf_vector_t *base, ap_conf_vector_t *virt)",18,12,9,2,3,0,3,26,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_create_request_config(apr_pool_t *p),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_create_conn_config(apr_pool_t *p),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_create_per_dir_config(apr_pool_t *p),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_invoke_filter_init(ap_filter_t *filters),11,11,8,5,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_invoke_handler(request_rec *r),74,45,32,12,10,1,19,164,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_method_is_limited(cmd_parms *cmd, const char *method)",14,7,6,3,3,1,4,20,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_register_hooks(module *m, apr_pool_t *p)",10,9,7,2,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,reload_conf_hash(void *baton),3,3,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"rebuild_conf_hash(apr_pool_t *p, int add_prelinked)",12,10,7,2,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_add_module_commands(module *m, apr_pool_t *p)",26,20,18,2,6,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_add_module(module *m, apr_pool_t *p)",61,35,20,10,11,2,15,97,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_remove_module(module *m),34,22,17,3,5,1,7,50,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_add_loaded_module(module *mod, apr_pool_t *p)",26,12,10,4,3,0,11,55,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_remove_loaded_module(module *mod),27,12,9,2,3,0,12,58,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_setup_prelinked_modules(process_rec *process),44,25,19,8,10,0,9,23,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_find_module_name(module *m),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_find_linked_module(const char *name),9,7,5,4,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"invoke_cmd(const command_rec *cmd, cmd_parms *parms, void *mconfig, const char *args)",160,117,67,45,43,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_find_command(const char *name, const command_rec *cmds)",9,7,5,4,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_find_command_in_modules( const char *cmd_name, module **mod)",12,10,8,4,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_set_config_vectors(server_rec *server, ap_conf_vector_t *section_vector, const char *section, module *mod, apr_pool_t *pconf)",16,12,10,3,3,0,1,9,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_build_config_sub(apr_pool_t *p, apr_pool_t *temp_pool, const char *l, cmd_parms *parms, ap_directive_t **current, ap_directive_t **curr_parent, ap_directive_t **conftree)",117,96,65,24,14,0,7,43,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_build_cont_config(apr_pool_t *p, apr_pool_t *temp_pool, cmd_parms *parms, ap_directive_t **current, ap_directive_t **curr_parent, char *orig_directive)",35,26,18,10,5,0,4,30,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_walk_config_sub(const ap_directive_t *current, cmd_parms *parms, ap_conf_vector_t *section_vector)",48,34,21,8,8,0,6,38,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_walk_config(ap_directive_t *current, cmd_parms *parms, ap_conf_vector_t *section_vector)",22,14,12,4,5,0,3,25,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_build_config(cmd_parms *parms, apr_pool_t *p, apr_pool_t *temp_pool, ap_directive_t **conftree)",46,37,23,11,9,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_set_string_slot(cmd_parms *cmd, void *struct_ptr, const char *arg)",6,4,4,1,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_set_int_slot(cmd_parms *cmd, void *struct_ptr, const char *arg)",14,11,8,2,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_set_string_slot_lower(cmd_parms *cmd, void *struct_ptr, const char *arg_)",8,6,6,1,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_set_flag_slot(cmd_parms *cmd, void *struct_ptr_v, int arg)",7,5,5,1,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_set_file_slot(cmd_parms *cmd, void *struct_ptr, const char *arg)",18,10,8,3,4,0,4,28,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_set_deprecated(cmd_parms *cmd, void *struct_ptr, const char *arg)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_server_root_relative(apr_pool_t *p, const char *file)",13,13,8,5,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_soak_end_container(cmd_parms *cmd, char *directive)",42,35,21,10,7,1,0,5,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"execute_now(char *cmd_line, const char *args, cmd_parms *parms, apr_pool_t *p, apr_pool_t *ptemp, ap_directive_t **sub_tree, ap_directive_t *parent)",29,22,15,6,7,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"arr_elts_getstr(void *buf, size_t bufsiz, void *param)",13,8,5,3,3,0,2,9,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,arr_elts_close(void *param),6,4,4,1,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"process_command_config(server_rec *s, apr_array_header_t *arr, ap_directive_t **conftree, apr_pool_t *p, apr_pool_t *ptemp)",32,25,20,4,7,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"fname_alphasort(const void *fn1, const void *fn2)",5,4,4,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"process_resource_config_nofnmatch(server_rec *s, const char *fname, ap_directive_t **conftree, apr_pool_t *p, apr_pool_t *ptemp, unsigned depth)",92,69,48,18,12,0,11,58,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_process_resource_config(server_rec *s, const char *fname, ap_directive_t **conftree, apr_pool_t *p, apr_pool_t *ptemp)",96,68,42,24,15,1,13,76,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_process_config_tree(server_rec *s, ap_directive_t *conftree, apr_pool_t *p, apr_pool_t *ptemp)",24,21,16,3,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_parse_htaccess(ap_conf_vector_t **result, request_rec *r, int override, int override_opts, const char *d, const char *access_name)",84,64,48,13,12,0,8,52,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_init_virtual_host(apr_pool_t *p, const char *hostname, server_rec *main_server, server_rec **ps)",33,25,25,1,6,0,2,19,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_fixup_virtual_hosts(apr_pool_t *p, server_rec *main_server)",33,21,12,6,9,0,3,17,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,init_config_globals(apr_pool_t *p),3,2,2,0,0,0,1,10,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"init_server_config(process_rec *process, apr_pool_t *p)",35,29,28,1,5,3,1,24,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_read_config(process_rec *process, apr_pool_t *ptemp, const char *filename, ap_directive_t **conftree)",45,33,22,9,8,0,4,24,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"ap_single_module_configure(apr_pool_t *p, server_rec *s, module *m)",8,7,3,2,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_run_rewrite_args(process_rec *process),8,7,5,2,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,"show_overrides(const command_rec *pc, module *pm)",69,51,32,16,15,0,3,18,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_show_directives(void),14,11,8,3,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_show_modules(void),6,5,4,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\config.c,ap_show_mpm(void),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\connection.c,ap_flush_conn(conn_rec *c),15,9,9,0,4,0,2,8,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\connection.c,ap_lingering_close(conn_rec *c),66,37,29,7,12,1,17,155,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\connection.c,"ap_process_connection(conn_rec *c, void *csd)",12,10,8,2,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"create_core_dir_config(apr_pool_t *a, char *dir)",64,44,36,2,14,0,6,24,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"merge_ct_filters(apr_pool_t *p, const void *key, apr_ssize_t klen, const void *overlay_val, const void *base_val, const void *data)",43,33,28,7,9,0,1,5,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"merge_core_dir_configs(apr_pool_t *a, void *basev, void *newv)",224,164,106,36,36,0,24,122,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"create_core_server_config(apr_pool_t *a, server_rec *s)",44,34,19,1,9,2,1,12,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"merge_core_server_configs(apr_pool_t *p, void *basev, void *virtv)",36,27,18,7,9,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"ap_add_per_dir_conf(server_rec *s, void *dir_config)",6,5,4,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"ap_add_per_url_conf(server_rec *s, void *url_config)",6,5,4,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"ap_add_file_conf(core_dir_config *conf, void *url_config)",4,3,3,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"reorder_sorter(const void *va, const void *vb)",31,20,16,7,4,0,7,43,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"ap_core_reorder_directories(apr_pool_t *p, server_rec *s)",39,26,23,3,6,0,7,57,
