 Fp1_Fp4_Fp5 Fp1_Fp4_Fp5_104200 Fp1_Fp4_Fp5_104200_Fp3 Fp1_Fp4_Fp5_104200_Fp3_Fp2 Fp4_Fp5 Fp4_Fp5_104200 Fp4_Fp5_104200_Fp3 Fp4_Fp5_104200_Fp3_Fp2 Fp5_104200 Fp5_104200_Fp3 Fp5_104200_Fp3_Fp2 104200_Fp3 104200_Fp3_Fp2 Fp3_Fp2 Fp1_Fp4_Fp2 Fp1_Fp4_Fp2_Fp5 Fp1_Fp4_Fp2_Fp5_104200 Fp1_Fp4_Fp2_Fp5_104200_Fp3 Fp4_Fp2 Fp4_Fp2_Fp5 Fp4_Fp2_Fp5_104200 Fp4_Fp2_Fp5_104200_Fp3 Fp2_Fp5 Fp2_Fp5_104200 Fp2_Fp5_104200_Fp3 Fp1_Fp4_Fp5_104200_21100 Fp1_Fp4_Fp5_104200_21100_Fp2 Fp1_Fp4_Fp5_104200_21100_Fp2_87100 Fp1_Fp4_Fp5_104200_21100_Fp2_87100_82100 Fp4_Fp5_104200_21100 Fp4_Fp5_104200_21100_Fp2 Fp4_Fp5_104200_21100_Fp2_87100 Fp4_Fp5_104200_21100_Fp2_87100_82100 Fp5_104200_21100 Fp5_104200_21100_Fp2 Fp5_104200_21100_Fp2_87100 Fp5_104200_21100_Fp2_87100_82100 104200_21100 104200_21100_Fp2 104200_21100_Fp2_87100 104200_21100_Fp2_87100_82100 21100_Fp2 21100_Fp2_87100 21100_Fp2_87100_82100 Fp2_87100 Fp2_87100_82100 87100_82100 Fp1_Fp4_Fp5_104200_21100_87100 Fp1_Fp4_Fp5_104200_21100_87100_Fp2 Fp1_Fp4_Fp5_104200_21100_87100_Fp2_82100 Fp4_Fp5_104200_21100_87100 Fp4_Fp5_104200_21100_87100_Fp2 Fp4_Fp5_104200_21100_87100_Fp2_82100 Fp5_104200_21100_87100 Fp5_104200_21100_87100_Fp2 Fp5_104200_21100_87100_Fp2_82100 104200_21100_87100 104200_21100_87100_Fp2 104200_21100_87100_Fp2_82100 21100_87100 21100_87100_Fp2 21100_87100_Fp2_82100 87100_Fp2 87100_Fp2_82100 Fp2_82100
1 900 900 900 900 900 900 900 900 900 900 900 900 900 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
2 100 100 100 100 100 100 100 100 900 900 100 900 900 900 900 900 900 900 900 900 900 900 900 900 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
3 900 900 900 100 900 900 100 100 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
4 900 900 100 100 900 900 100 100 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 900 100 100 100 900 100 100 100 900 100 100 100 900 100 100 100 100 100 100 100 100 100 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900
5 900 900 900 900 900 900 900 900 900 900 900 900 900 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
6 100 100 100 100 100 100 100 100 900 900 100 900 900 900 900 900 900 900 900 900 900 900 900 900 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
7 900 900 900 100 900 900 100 100 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
8 900 900 900 900 900 900 900 900 900 900 900 900 900 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
9 100 100 100 100 100 100 100 100 900 900 100 900 900 900 900 900 900 900 900 900 900 900 900 900 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
10 900 900 900 100 900 900 100 100 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 900 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100



